code,name,date1,date2,price,require
"""600078""",婢勬槦鑲′唤,2012.3.29,2015.12.22,6.46,暂定-2019年11月24日之前买入，并且在2019年11月24日收盘未清仓的受损的投资者
"""002490""",灞变笢澧ㄩ緳,2015.4.25,2017.3.21,6.84,暂定-2019年11月24日之前买入，并且在2019年11月25日收盘未清仓的受损的投资者
"""600730""",涓浗楂樼,2013.4.27,2015.7.23,22.43,暂定-2019年11月24日之前买入，并且在2019年11月26日收盘未清仓的受损的投资者
"""000922""",浣崇數鑲′唤,2014.4.22,2017.4.7,7.58,暂定-2019年11月24日之前买入，并且在2019年11月27日收盘未清仓的受损的投资者
"""300208""",鎭掗『浼楁槆,2014.8.26,2015.8.3,59.42,暂定-2019年11月24日之前买入，并且在2019年11月28日收盘未清仓的受损的投资者
"""000798""",涓按娓斾笟,2015.8.28,2016.3.29,11.66,暂定-2019年11月24日之前买入，并且在2019年11月29日收盘未清仓的受损的投资者
"""600537""",浜挎櫠鍏夌數,2017.2.3,2017.4.14,5.23,暂定-2019年11月24日之前买入，并且在2019年11月29日收盘未清仓的受损的投资者12345678901234567890123456789012345678901234567890123456789012345678901234567890
"""002667""",闉嶉噸鑲′唤,2016.4.23,2017.3.10,22.97,暂定-2019年11月24日之前买入，并且在2019年11月29日收盘未清仓的受损的投资者12345678901234567890123456789012345678901234567890123456789012345678901234567890
"""000755""",灞辫タ涓夌淮,2014.8.13,2018.4.17,4.65,暂定-2019年11月24日之前买入，并且在2019年11月29日收盘未清仓的受损的投资者12345678901234567890123456789012345678901234567890123456789012345678901234567890
"""600601""",鏂规绉戞妧,2005.3.19,2015.11.19,6.42,暂定-2019年11月24日之前买入，并且在2019年11月29日收盘未清仓的受损的投资者
"""600696""",鍖瑰嚫鍖?2015.5.11,2017.2.23,2015.11.20,8.45,暂定-2019年11月24日之前买入，并且在2019年11月30日收盘未清仓的受损的投资者
"""300135""",瀹濆埄鍥介檯,2015.7.4,2015.11.24,9.06,暂定-2019年11月24日之前买入，并且在2019年11月31日收盘未清仓的受损的投资者
"""601901""",鏂规璇佸埜,2011.8.9,2015.7.14,7.88,暂定-2019年11月24日之前买入，并且在2019年11月32日收盘未清仓的受损的投资者
"""002288""",瓒呭崕绉戞妧,2015.4.29,2017.9.4,6.62,暂定-2019年11月24日之前买入，并且在2019年11月33日收盘未清仓的受损的投资者
"""600576""",绁ユ簮鏂囧寲,2017.1.12,2017.2.27,15.5,暂定-2019年11月24日之前买入，并且在2019年11月34日收盘未清仓的受损的投资者
"""600370""",涓夋埧宸?2015.3.31,2017.3.9,2017.2.28,4.72,暂定-2019年11月24日之前买入，并且在2019年11月35日收盘未清仓的受损的投资者
"""600281""",澶寲鑲′唤,2015.4.28,2016.1.28,5.79,暂定-2019年11月24日之前买入，并且在2019年11月36日收盘未清仓的受损的投资者
"""300117""",鍢夊瘬鑲′唤,2010.8.20,2015.6.12,10.01,暂定-2019年11月24日之前买入，并且在2019年11月37日收盘未清仓的受损的投资者
