证券名称,代码,虚假陈述实施日,虚假陈述揭露日有结余库存符合索赔要求,基准价,
佳电股份,1000922,2014.4.22,2017.4.7,7.58,
超华科技,1002288,2015.4.29,2017.9.4,6.62,
澄星股份,1600078,2012.3.29,2015.12.22,6.46,
三房巷,1600370,2015.3.31,2017.3.9,4.72,
山东墨龙,1002490,2015.4.25,2017.3.21,6.84,
亿晶光电,1600537,2017.2.3,2017.4.14,5.23,
宝利国际,1300135,2015.7.4,2015.11.24,9.06,
方正证券,1601901,2011.8.9,2015.7.14,7.88,
方正科技,1600601,2005.3.19,2015.11.19,6.42,
嘉寓股份,1300117,2010.8.20,2015.6.12,10.01,
祥源文化,1600576,2017.1.12,2017.2.27,15.5,
中国高科,1600730,2013.4.27,2015.7.23,22.43,
鞍重股份,1002667,2016.4.23,2017.3.10,22.97,
恒顺众昇,1300208,2014.8.26,2015.8.3,59.42,
匹凸匹,1600696,2015.5.11,2017.2.23,8.45,
太化股份,1600281,2015.4.28,2016.1.28,5.79,
山西三维,1000755,2014.8.13,2018.4.17,4.65,
中水渔业,1000798,2015.8.28,2016.3.29,11.66,

