security,code,date1,date2,price,
益盛药业2020.2.9到期,1002566,2011.3.18,2015.12.28,14.54,
尔康制药,1300267,2017.4.21,2017.11.22,6.85,
昆明机床2020.2.16到期,1600806,2015.11.11,2016.2.5,12.4,
武汉凡谷,1002194,2016.7.30,2017.3.24,9.07,
中兵红箭,1000519,2015.4.14,2017.8.1,11.5,
天奇股份,1002009,2015.3.1,2017.4.27,11.47,
申科股份,1002633,2015.9.12,2016.8.4,22.78,
飞乐音响,1600651,2017.8.26,2018.4.12,4.83,
界龙实业,1600836,2015.8.15,2017.9.21,5.84,
抚顺特钢,1600399,2011.4.14,2018.1.30,3.38,
上峰水泥,1000672,2017.4.12,2018.5.10,8.8,
长园集团,1600525,2016.6.8,2018.12.24,4.55,
联建光电,1300269,2015.4.1,2017.12.7,12.54,
罗平锌电,1002114,2016.8.30,2018.6.20,8.94,
全通教育,1300359,2017.2.20,2017.7.21,12.21,
宁波中百,1600857,2013.4.16,2016.4.19,14.61,
欢瑞世纪,1000892,2016.2.1,2017.7.17,8.14,
圣莱达,1002473,2016.3.22,2017.4.18,9.4,
